Blue_Team,Red_Team,Blue_Utility,Red_Utility,BS1,BS2,BS3,BS4,BS5,RS1,RS2,RS3,RS4,RS5,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5
Rogue,SK Gaming,30.81782291155411,17.843974656795403,Jarvan IV,Ornn,Aphelios,Azir,Nami,Trundle,Gwen,Renata Glasc,Alistar,Zoe,Jinx,Nautilus,Leona,LeBlanc,Rakan,Wukong,Sivir,Lucian,Jhin,Lee Sin
Rogue,Excel Esports,32.1273520987371,19.364645366535445,Jarvan IV,Ornn,Rakan,Azir,Lucian,Jax,Zilean,Aatrox,Twisted Fate,Lee Sin,Jinx,Wukong,Yuumi,Gwen,Lissandra,Xin Zhao,Aphelios,Kalista,Poppy,Vi
Rogue,G2 Esports,31.59237652008919,20.211732260010432,Ornn,Rakan,Azir,Caitlyn,Lee Sin,Gwen,Zilean,Corki,Aatrox,Ahri,Ahri,Jarvan IV,Aphelios,Trundle,Sylas,Jinx,Lucian,Volibear,Xin Zhao,Jhin
Rogue,Astralis,31.63006219427575,17.601802324052077,Jarvan IV,Ornn,Aphelios,Azir,Nami,Alistar,Viktor,Gangplank,Akshan,Volibear,Vex,Viego,Trundle,Leona,Rakan,Jhin,Sivir,Xin Zhao,Lucian,Poppy
Rogue,Misfits Gaming,33.91468492660723,19.451678689721785,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Sylas,Gwen,Amumu,Renata Glasc,Hecarim,Lee Sin,Leona,Jinx,Gnar,Akali,Zeri,Jhin,Sivir,Trundle,Volibear
Rogue,Fnatic,33.71129947210787,20.846890122128862,Jarvan IV,Ornn,Rakan,Azir,Jinx,Renata Glasc,Draven,Akali,Zoe,Alistar,Viego,Zeri,Aphelios,Trundle,Gwen,Jhin,Sivir,Volibear,Hecarim,Lee Sin
Rogue,Team BDS,29.53554151369315,18.244452712348238,Ornn,Rakan,Azir,Trundle,Caitlyn,Gwen,Renata Glasc,Taliyah,Jayce,Alistar,Xin Zhao,Aphelios,Ezreal,LeBlanc,Jinx,Lucian,Kalista,Jarvan IV,Zeri,Volibear
SK Gaming,MAD Lions,26.410296643733698,15.945169264028067,Leona,Jarvan IV,LeBlanc,Gnar,Ezreal,Trundle,Varus,Jayce,Rakan,Ahri,Nautilus,Zeri,Lee Sin,Aphelios,Wukong,Jinx,Sivir,Karthus,Volibear,Xin Zhao
SK Gaming,Team Vitality,28.787028350299085,14.239102662766463,Nautilus,Jarvan IV,LeBlanc,Graves,Ezreal,Ryze,Volibear,Renekton,Akali,Thresh,Gnar,Aphelios,Tahm Kench,Xin Zhao,Trundle,Karthus,Draven,Jinx,Jhin,Poppy
SK Gaming,Rogue,30.181284368857206,15.412592811671908,Nautilus,LeBlanc,Lee Sin,Gnar,Ezreal,Sylas,Ahri,Trundle,Gangplank,Leona,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Jinx,Kalista,Karthus,Draven,Xin Zhao
SK Gaming,Excel Esports,26.91629828783887,14.621060652721706,Nautilus,Jarvan IV,LeBlanc,Gnar,Ezreal,Nilah,Twisted Fate,Gangplank,Thresh,Akshan,Jinx,Xin Zhao,Wukong,Yuumi,Gwen,Kalista,Hecarim,Jhin,Viego,Aphelios
SK Gaming,G2 Esports,28.173975639310065,15.809715721247784,Jinx,Nautilus,LeBlanc,Gnar,Poppy,Lee Sin,Braum,Zeri,Jayce,Corki,Ahri,Jarvan IV,Aphelios,Trundle,Sylas,Karthus,Draven,Xin Zhao,Hecarim,Wukong
SK Gaming,Astralis,27.441629867451773,13.159884429616909,Jinx,Nautilus,Jarvan IV,LeBlanc,Gnar,Nami,Akshan,Poppy,Ahri,Gangplank,Vex,Viego,Trundle,Leona,Rakan,Aphelios,Zeri,Kalista,Samira,Jhin
SK Gaming,Misfits Gaming,28.67845215187491,14.426455146630833,Nautilus,Jarvan IV,LeBlanc,Aphelios,Graves,Jhin,Zoe,Aatrox,Alistar,Diana,Lee Sin,Leona,Jinx,Sylas,Gnar,Karthus,Xin Zhao,Kalista,Sivir,Wukong
SK Gaming,Fnatic,29.723861782494758,16.18825642058988,Jinx,Nautilus,Jarvan IV,LeBlanc,Gnar,Lucian,Vex,Wukong,Lulu,Graves,Viego,Zeri,Aphelios,Trundle,Gwen,Samira,Xin Zhao,Hecarim,Kalista,Sylas
SK Gaming,Team BDS,24.89428982060763,13.416265033906317,Nautilus,Jarvan IV,LeBlanc,Gnar,Caitlyn,Yuumi,Jayce,Lissandra,Zeri,Aatrox,Xin Zhao,Aphelios,Ezreal,Karma,Viego,Samira,Sivir,Jinx,Kalista,Draven
Excel Esports,MAD Lions,28.00395145428106,17.284642036207607,Xin Zhao,Yuumi,Gwen,Lissandra,Lucian,Renata Glasc,Renekton,Viego,Sivir,Graves,Nautilus,Jinx,Lee Sin,Wukong,Taliyah,Zeri,Twitch,Aphelios,Volibear,Draven
Excel Esports,Team Vitality,30.15903779435206,15.688488216441067,Jinx,Xin Zhao,Yuumi,Gwen,Lissandra,Jarvan IV,Kennen,Sylas,Renata Glasc,Lucian,Gnar,Aphelios,Tahm Kench,Trundle,Ahri,Sivir,Varus,Nilah,Samira,Poppy
Excel Esports,Rogue,31.998447714864614,16.751579723933165,Jinx,Xin Zhao,Yuumi,Gwen,Lissandra,Akali,Gangplank,Amumu,Lulu,Trundle,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Kalista,Varus,Wukong,Lucian,Lee Sin
Excel Esports,SK Gaming,27.164447211162617,14.501857607429809,Xin Zhao,Yuumi,Gwen,Lissandra,Sivir,Rakan,Aatrox,Aatrox,Akshan,Draven,Jinx,Nautilus,Leona,Jarvan IV,LeBlanc,Aphelios,Zeri,Kalista,Samira,Wukong
Excel Esports,G2 Esports,29.961393092657456,17.08603967225757,Jinx,Xin Zhao,Yuumi,Gwen,Lissandra,Gnar,Aatrox,Viktor,Lulu,Wukong,Ahri,Jarvan IV,Aphelios,Trundle,Sylas,Twitch,Samira,Nilah,Kalista,Poppy
Excel Esports,Astralis,29.078765125707758,14.460291569153318,Jinx,Xin Zhao,Yuumi,Gwen,Lissandra,Jarvan IV,Kennen,Aatrox,Ahri,Nami,Vex,Viego,Trundle,Leona,Rakan,Aphelios,Varus,Draven,Samira,Kalista
Excel Esports,Misfits Gaming,30.231764599887626,16.0692028278753,Xin Zhao,Yuumi,Gwen,Lissandra,Lucian,Amumu,Ahri,Ornn,Aatrox,Ryze,Lee Sin,Leona,Sylas,Gnar,Sivir,Jinx,Aphelios,Zeri,Samira,Nilah
Excel Esports,Fnatic,30.919790853642155,17.38175562833235,Jinx,Xin Zhao,Yuumi,Lissandra,Gangplank,Renekton,Akali,Renata Glasc,Aphelios,Viktor,Viego,Aphelios,Trundle,Gwen,Lucian,Zeri,Kalista,Sivir,Volibear,Nilah
Excel Esports,Team BDS,26.78473416925131,14.845956716730973,Jinx,Wukong,Yuumi,Lissandra,Gangplank,Ahri,Aatrox,Ryze,Gwen,Nami,Xin Zhao,Aphelios,Ezreal,LeBlanc,Jarvan IV,Zeri,Sivir,Nilah,Twitch,Trundle
G2 Esports,MAD Lions,30.05611922982228,18.6817156408135,Ahri,Jarvan IV,Rakan,Gnar,Xayah,Aatrox,Alistar,Trundle,Twisted Fate,Jax,Nautilus,Jinx,Zeri,Lee Sin,Taliyah,Aphelios,Kalista,Gwen,Draven,Wukong
G2 Esports,Team Vitality,31.419185559315526,16.953805446947932,Ahri,Jarvan IV,Jinx,Rakan,Gwen,Lucian,Nautilus,Ahri,Jax,Vex,Gnar,Tahm Kench,Trundle,Orianna,Thresh,Aphelios,Xin Zhao,Sivir,Viego,Zeri
G2 Esports,Rogue,32.35469323916749,18.186391481097914,Ahri,Trundle,Gwen,Lulu,Draven,Aatrox,Akali,Akali,Zeri,Nautilus,Jarvan IV,Ornn,Rakan,Azir,Viktor,Jinx,Aphelios,Twitch,Xin Zhao,Volibear
G2 Esports,SK Gaming,29.070124416738086,16.148611382497798,Ahri,Jarvan IV,Rakan,Gwen,Zeri,Sivir,Akali,Vex,Ahri,Gnar,Jinx,Nautilus,Leona,LeBlanc,Renata Glasc,Aphelios,Lucian,Twitch,Trundle,Wukong
G2 Esports,Excel Esports,30.07011399394558,17.289788257281366,Ahri,Aphelios,Trundle,Rakan,Gnar,Taliyah,Jarvan IV,Renata Glasc,Sejuani,Sivir,Jinx,Xin Zhao,Wukong,Yuumi,Gwen,Jhin,Lucian,Lee Sin,Twitch,Zeri
G2 Esports,Astralis,30.109187975348522,15.91042823147095,Ahri,Jarvan IV,Aphelios,Lulu,Gnar,Irelia,Alistar,Gwen,Xin Zhao,Nami,Vex,Viego,Trundle,Leona,Rakan,Lucian,Jinx,Draven,Kalista,Wukong
